Location,SwimLocation,Time,AverageTemp,stddev,stderr
Cheek,Indoor,Pre,95.23333333,1.562903281,0.638052593
Cheek,Indoor,Post1,84.28333333,2.642284365,1.078708075
Cheek,Indoor,Post2,86.23333333,2.445949032,0.998554511
Cheek,Outdoor,Pre,76.01666667,6.907218446,2.819860123
Cheek,Outdoor,Post1,52.96666667,3.919013481,1.599930554
Cheek,Outdoor,Post2,61.55,5.069023575,2.069420209
Elbow,Indoor,Pre,95.43333333,1.087504789,0.443971971
Elbow,Indoor,Post1,89.1,3.313608305,1.352774926
Elbow,Indoor,Post2,91.4,2.356268236,0.961942479
Elbow,Outdoor,Pre,92.53333333,2.86053608,1.167808965
Elbow,Outdoor,Post1,61.9,4.92869151,2.012129883
Elbow,Outdoor,Post2,80.63333333,3.219109608,1.314195994
Palm,Indoor,Pre,91.73333333,2.118175315,0.864741451
Palm,Indoor,Post1,84.11666667,1.154844867,0.471463443
Palm,Indoor,Post2,89.31666667,4.049403248,1.653161953
Palm,Outdoor,Pre,74.56666667,7.106241388,2.901110898
Palm,Outdoor,Post1,48.58333333,2.764356465,1.128543801
Palm,Outdoor,Post2,58.51666667,2.567813597,1.048305511
Pec,Indoor,Pre,93.26666667,1.286338473,0.525145482
Pec,Indoor,Post1,84.18333333,2.798868819,1.142633411
Pec,Indoor,Post2,87.55,2.056939474,0.839742024
Pec,Outdoor,Pre,87.15,4.615950606,1.884453944
Pec,Outdoor,Post1,52.88333333,2.033142068,0.830026773
Pec,Outdoor,Post2,69.61666667,2.377744029,0.970709935
